customer_id,product_type,months_on_book,num_transactions_last_month,defaulted,credit_limit,current_exposure,ccf,undrawn_amount,ead,segment,utilization_rate
1,Annuitetslån,49,4,0,33282.235934552344,31426.7,0.07,1855.535934552343,31556.587515418665,Retail,0.9442484592020455
2,Leasing,14,4,0,31647.393989424843,18181.84,0.09,13465.553989424843,19393.739859048237,Corporate,0.5745130232863902
3,Kreditkort,64,6,0,32614.60643622404,12564.83,0.36,20049.77643622404,19782.749517040655,Retail,0.3852516210664627
4,Kreditkort,82,10,0,44293.172627767424,41194.49,0.59,3098.6826277674263,43022.71275038278,Retail,0.9300415291131153
5,Revolverande,90,4,0,73603.90394703073,69164.91,0.79,4438.993947030729,72671.71521815428,Retail,0.9396907812087621
6,Revolverande,85,4,0,68033.0975637851,28681.24,0.72,39351.85756378509,57014.577445925264,Retail,0.4215777471121262
7,Revolverande,10,3,0,51989.06824437654,44820.94,0.69,7168.128244376538,49766.94848861981,Retail,0.8621223944487236
8,Leasing,97,5,0,72844.82269039616,40339.65,0.05,32505.17269039616,41964.90863451981,Corporate,0.5537751141416172
9,Kreditkort,23,2,0,47919.57369742904,26254.63,0.59,21664.94369742904,39036.94678148313,Retail,0.5478894734284459
10,Kreditkort,83,8,0,40361.686140459846,19000.4,0.45,21361.286140459844,28612.97876320693,Retail,0.47075337571076825
11,Revolverande,89,6,0,68517.72163592973,22546.56,0.86,45971.16163592973,62081.75900689958,Retail,0.3290617297492989
12,Leasing,103,6,1,37896.736187489194,17970.85,0.13,19925.886187489195,20561.215204373595,Corporate,0.47420574455519193
13,Leasing,82,4,1,36715.231824918264,12297.95,0.06,24417.281824918264,13762.986909495097,Corporate,0.33495498703765514
14,Revolverande,72,6,0,76001.23686480218,68465.09,0.64,7536.146864802184,73288.2239934734,Retail,0.9008417865855505
15,Revolverande,74,3,1,64413.14356061272,47029.22,0.82,17383.92356061272,61284.03731970243,Retail,0.7301183795780055
16,Revolverande,27,4,0,61350.521594576305,53761.75,0.57,7588.771594576305,58087.34980890849,Retail,0.8763046931413996
17,Annuitetslån,84,4,0,35926.17349942582,27528.03,0.05,8398.143499425823,27947.93717497129,Retail,0.7662388536992384
18,Kreditkort,91,5,0,37515.793954861816,14456.2,0.61,23059.593954861815,28522.55231246571,Retail,0.3853363737255137
19,Annuitetslån,14,2,1,32395.841051599196,29524.86,0.08,2870.981051599196,29754.538484127937,Retail,0.9113780979778738
20,Revolverande,17,3,0,61007.57636979984,53987.46,0.49,7020.116369799842,57427.317021201925,Retail,0.8849304170477593
21,Kreditkort,61,7,0,49044.731181312236,25809.76,0.55,23234.971181312238,38588.99414972173,Retail,0.5262493927142662
22,Revolverande,28,8,0,64807.458275562916,24140.56,0.86,40666.89827556291,59114.09251698411,Retail,0.37249663298557
23,Revolverande,107,5,0,62566.01478143049,47406.31,0.88,15159.70478143049,60746.85020765883,Retail,0.7577006489163527
24,Annuitetslån,111,1,0,30975.36839332864,23957.43,0.07,7017.938393328641,24448.685687533005,Retail,0.7734348691446027
25,Annuitetslån,28,7,0,32157.044834831624,28392.71,0.1,3764.334834831625,28769.14348348316,Retail,0.882939030804404
26,Kreditkort,49,7,0,41683.237711770555,13931.63,0.56,27751.607711770557,29472.53031859151,Retail,0.33422619654293245
27,Revolverande,34,3,0,57723.06784151259,22633.65,0.62,35089.417841512586,44389.0890617378,Retail,0.39210753770302215
28,Kreditkort,12,7,0,49730.86094720869,34257.69,0.55,15473.170947208688,42767.93402096478,Retail,0.6888617922051645
29,Kreditkort,18,2,0,42198.46437171118,29641.7,0.35,12556.764371711182,34036.56753009892,Retail,0.7024355137404258
30,Revolverande,73,4,0,50635.02944081459,16296.7,0.6,34338.32944081459,36899.697664488755,Retail,0.3218463616980535
31,Kreditkort,19,5,0,28915.742020929225,16135.15,0.51,12780.592020929225,22653.251930673905,Retail,0.5580057391686982
32,Revolverande,25,6,0,59735.97478668295,40602.85,0.82,19133.12478668295,56292.01232508002,Retail,0.6797051549755855
33,Revolverande,28,3,0,63853.578879393375,49782.96,0.78,14070.618879393376,60758.04272592683,Retail,0.7796424393694524
34,Leasing,87,8,0,38785.33927661695,19605.91,0.12,19179.42927661695,21907.441513194033,Corporate,0.5054979630362569
35,Leasing,88,4,0,46087.681538217155,28322.6,0.07,17765.081538217157,29566.1557076752,Corporate,0.6145373135447079
36,Leasing,9,7,0,64194.49394866678,53225.94,0.04,10968.553948666777,53664.68215794667,Corporate,0.82913559599928
37,Annuitetslån,16,2,0,25897.117222070523,23826.17,0.03,2070.9472220705247,23888.298416662114,Retail,0.920031746996705
38,Revolverande,81,5,0,41615.47009290708,18714.67,0.74,22900.800092907084,35661.26206875124,Retail,0.4497046400826244
39,Kreditkort,119,7,0,35523.93424836021,16500.07,0.42,19023.86424836021,24490.092984311286,Retail,0.4644775515189916
40,Annuitetslån,9,5,0,34488.93455844893,31415.34,0.04,3073.5945584489273,31538.283782337956,Retail,0.9108817190847094
41,Revolverande,11,3,0,66891.80475646886,37281.63,0.59,29610.174756468863,54751.63310631663,Retail,0.5573422654050103
42,Annuitetslån,117,7,0,29527.446519600806,22645.38,0.08,6882.066519600805,23195.945321568066,Retail,0.766926458912308
43,Revolverande,50,4,1,72506.45343348778,50607.5,0.84,21898.953433487783,69002.62088412973,Retail,0.6979723542322159
44,Leasing,74,4,0,31887.69691320062,15485.69,0.14,16402.006913200617,17781.970967848087,Corporate,0.4856321245824861
45,Revolverande,116,3,1,56690.854722709395,41090.41,0.57,15600.444722709391,49982.66349194436,Retail,0.7248154962733324
46,Kreditkort,61,8,0,43966.27420240064,31924.7,0.49,12041.574202400636,37825.07135917631,Retail,0.7261179296893175
47,Annuitetslån,89,5,0,21536.33579481645,14754.29,0.01,6782.045794816448,14822.110457948165,Retail,0.685088222089813
48,Kreditkort,95,3,0,46542.863025408835,16977.88,0.38,29564.983025408834,28212.57354965536,Retail,0.36477945051922095
49,Kreditkort,84,5,0,48809.4213596965,46215.77,0.37,2593.6513596965015,47175.4210030877,Retail,0.9468616654849721
50,Revolverande,97,3,0,58478.595666032284,32763.84,0.47,25714.755666032284,44849.77516303517,Retail,0.5602706362360735
51,Leasing,96,4,0,45866.36612646966,32788.17,0.04,13078.196126469658,33311.29784505878,Corporate,0.7148630416805097
52,Kreditkort,118,2,0,31888.731629923343,27926.4,0.39,3962.331629923341,29471.709335670104,Retail,0.8757450852574764
53,Leasing,41,4,0,40251.70932426757,23150.27,0.02,17101.43932426757,23492.298786485353,Corporate,0.5751375628175575
54,Leasing,101,3,1,36068.35225127621,28964.74,0.13,7103.612251276205,29888.20959266591,Corporate,0.8030513786216874
